BTS,42,"please do some empathy with us. im awake since 4 am because of the time difference and im trying to support them as much as i can. you don't have to like or listen to BTS 'songs but you have to show some respect. they work so hard and their only goal is to make us happy and comforted.they are not cheating, they are not doing something bad, they are just making music in their own way. so please stop making spam comments. and show respect BTS and their fans, please."
BTS,43,"[Intro: Jungkook]
'Cause I, I, I'm in the stars tonight
So watch me bring the fire and set?the?night alight"
BTS,44,"Am i thr only one who thinks that this song is funny and incredible??
I really love it and i want to cry"
BTS,45,"FANgirl =like
FANboy =comment"
BTS,46,"Other people drinks alcohol or coldrinks  in their mv's 

But our jungkook drinks milk because he is different and special"
BTS,47,"Ayy los amo, (no se que me emociono mas, si los subtitulos en espa?ol o el MV)"
BTS,48,"I'm so down earlier but when I watched this, I feel so motivated and happy."
BTS,49,STREAM AND LETS GETS THIS TO HIGHER THAN 82.4 MILLION VIEWS IN 24 HOURS
BTS,50,"No entiendo nada de los comentarios, pero VAMOS ARMYS, PODEMOS HACERLO. POR LOS CHICOS!!!"
BTS,51,"Jungkook's Hip thrust
V's smile at the end
Jimin's MJ pose
J-hope's voice"
BTS,52,"IMAGINE THIS: WHEN BTS WOKE UP TOMORROW THEY'LL BE SHOCK THAT THE MV HIT 600 MILLION ALREADY!!! ISN'T THAT AWESOME?? NOW, SHARE THIS TO BE MOTIVATED!!!! WE GOT THIS!!! WE REALLY DO!!! ROAD TO 600 MILLION FOR BANGTAN"
BTS,53,Me encanto el ritmo de la cancion y ademas de sorprendio que no hay rap pero es la mejor cancion la amo
BTS,54,bts and disco go well together!
BTS,55,Vamos ARMY nosotras podemos llegar a la meta
BTS,56,"J-hope and Jimin : I'm diamond you know I glow up

Army: yeah all the world knows that"
BTS,57,So many clowns in the comment section. Get yourself a life and let us enjoy the song of the year.
BTS,58,"POV: You’re looking for a comment that isn’t “everyone: comments this and gets nothing of likes” 

Seriously tho people should stop, this happened with the hylt mv too"
BTS,59,"DID YOU SEE NAMJOON? 
DID YOU SEE SEOKJIN? 
DID YOU SEE YOONGI? 
DID YOU SEE HOSEOK? "
BTS,60,No nos rindamos demostremos que las 3 M de v1st4s que nos robaron las podemos recuperar facilmente y arrebasar la meta
