BTS,56,"J-hope and Jimin : I'm diamond you know I glow up

Army: yeah all the world knows that",,,,,
BTS,57,So many clowns in the comment section. Get yourself a life and let us enjoy the song of the year.,,,,,
BTS,58,"POV: You?ôre looking for a comment that isn?ôt ?úeveryone: comments this and gets nothing of likes??

Seriously tho people should stop, this happened with the hylt mv too",,,,,
BTS,59,"DID YOU SEE NAMJOON? 
DID YOU SEE SEOKJIN? 
DID YOU SEE YOONGI? 
DID YOU SEE HOSEOK? ",,,,,
BTS,60,No nos rindamos demostremos que las 3 M de v1st4s que nos robaron las podemos recuperar facilmente y arrebasar la meta,,,,,
BTS,61,I'm speechless bts thank you for this masterpiece,,,,,
BTS,62,"Friend:Do you know what jealousy is??

Me shows comments on dynamite",,,,,
BTS,63,"i like this part.

 Shining through the city with a little funk and soul ",,,,,
BTS,64,"me: I don't trust people who drink milk alone 
jungkook: * drinking milk alone *",,,,,
BTS,65,"HEY ARMY LETS MAKE THIS VIDEO 100M IN 24 HOURS!!! WE CAN DO THIS!! DONT GIVE UP BABY!!!FIGHTING!!!!

YAYYY WE DID IT!! 101.1M IN 24 HOURS :D Keep str34ming ARMY <3",,,,,
BTS,66,THIS SOUNDS FAMILIAR. it sounds like--- Dynamite Song of The Year. YEAH?,,,,,
BTS,67,Armys sigan viendo y dando r3pr0Ducci0n3s recuenden que la meta es  1B!!! ????,,,,,
BTS,68,"Brain: are u sleeping?
Me: yeah, almost

Brain: DYNANANANAE",,,,,
BTS,69,"2016 Fire: Say lalalalala
2017 DNA: lalalalalalalalalala
2018 IDOL: oh oh uh oh oh oh uh oh uh oh
2019 Boy With Luv: oh my my my",,,,,
BTS,70,"As a blink, I want to congratulate BTS for releasing their first all English single!! The song is so addicting and it gives out such good vibes. Also congrats to ARMY as well!! 58 million vi3ws in 10 hours?? Keep fighting army!! Please ignore the hate from the other fandoms. Even some blinks. We don't own them. YOU GUYS CAN DO IT!!! ",,,,,
BTS,71,N?mero 1 en M?xico!!! Sigamos ARMYs mexicanas demostremos nuestro amor y apoyo por los chicos.,,,,,
BTS,72,Armies strmmmm correctly after 2/3 videos till Dynamite hit 100m... Kp on strmg till  we are up above the sky or hit the billion vw mark. We will win.. Hwaiting!!!!,,,,,
BTS,73,realmente  esto es una de las mejores cosas que han pasado en la cuarentena  :3,,,,,
BTS,74,Los amo a todos  por igual pero esperaba ver un poquito m?s a Jin,,,,,
BTS,75,"omgKSKSJ I DIeEhd
perfect visuals..
buT THEY DO BE HAVING PERFECT VISUALS OK 
LOOK AT - THEM ALL O:",,,,,
BTS,76,"This MV is the definition of perfection, without defects, a work of art
It exceeded all of our expectations, the costumes and sets are incredible.",,,,,
BTS,77,"COME ON ARMYS, WE CAN DO IT, WE CAN HIT 100M IN 24H",,,,,
BTS,78,"Come on Armys we get the 100 Million vi3ws in 24 hours. Fighting!!

(12 hours after the comment)
OMG guys. you are soo amazing we got finally the 87 Million in 20 hours and 50 minutes. Now this is the MV with the most vi3ws in 24 hours. The armys are a real Army. I want to thank to all of you who worked hard and supported them. It is 3 a.m. now and I am going to sleep soon. But peacfully hehe. I was really abaut to cry. This is my first time str3aming and putting my time into it. I never loved an Artist so much that I want them to break records and get everything they want. Whatever thank you again and stay safe. Love you",,,,,
BTS,79,ARMY!!! SI PODEMOS NO NOS RINDAMOS SOMOS MUCHXS ASIQUE NO DEJEN DE REPRODUCIR SI SE PUEDE  SI PODEMOS ARMY!!!!!!!,,,,,
BTS,80,"Estoy impactadisima de que pusieron subtitulos en espa?ol :0
LOS AMO SON PERFECTOS AKSNIASNSK",,,,,
BTS,81,Solo la gente intelectual comenta cosas POSITIVAS,,,,,
BTS,82,Desde el teaser sab?a que se nos vendr?a arte,,,,,
BTS,83,So jk's favourite word is officially DING DONG now.,,,,,
BTS,84,"namjoon: life as sweet as honey

me: darling you and your dimples are sweeter",,,,,
BTS,85,"jungkook: ding dong call me on the phone
me: has flashbacks to when jungkook said ding dong on a live",,,,,
BTS,86,The cutest concept ever! Surely they are our dynamite. Like this if you agree,,,,,
BTS,87,"HOY ES UN INCRE?BLE D?A GRACIAS A EST? CANCI?N


STR34M EN SPOTIFY  PARA LLEGAR A 7M TAMBIEN Y HAGAN SHAZAM. VAMOS POR ESOS 100M EN YT",,,,,
BTS,88,"Lets make it 1 Billion in 1 month. Whos with me??

Its okay guys that we cant make it. We still can break the record of fastest mv to get 1 bill!! Fighting!!!",,,,,
BTS,89,Let?ôs see how much ARMY?ôS want this  ?úDYNAMITE??1 BILLION,,,,,
